name,lat,lng,tags
火箭军工程大学,109.12277571436594,34.317201939113104,高校
空军工程大学(沁水新城),109.03141512876316,34.27453066104687,高校
西安交通大学附属中学,108.9989465710893,34.226068034696915,高校
西安铁路工程职工大学,108.91047690660197,34.22167858413838,高校
陕西科技大学,108.97283246569367,34.38271346533881,高校
西安工程大学临潼校区,109.17960759515714,34.37098947740264,高校
西安交通大学-西二楼,108.97607880887772,34.25072914469224,高校
西安交通大学中心-三楼,108.97804675202325,34.25155037425702,高校
陕西广播电视大学(含光路中段),108.92716064010236,34.235656290873855,高校
西北大学-附属中学,108.88933864469699,34.24130733197104,高校
西北大学,108.91876898541133,34.24904640292448,高校
西安交通大学-南门,108.978781447687,34.2430575637903,高校
政法大学,108.94200954285232,34.21000322859514,高校
西北工业大学-西馆,108.90785251683849,34.243761260370434,高校
西安广播电视大学(高新分校),108.89773212940781,34.235188683120285,高校
电子科技大学,108.91403861311501,34.23691076327712,高校
西安财经大学,108.93420330684407,34.11872508140191,高校
西安建筑科技大学-附属中学,108.96525103371147,34.23605063909173,高校
西安交通大学-西南门,108.97489941981252,34.2469282523325,高校
陕西广播电视大学(新城分校),108.97173346059475,34.271154936675515,高校
西安交通大学-北门,108.97900354994825,34.25228606885506,高校
西北大学桃园家属院,108.89083741899407,34.241469547348956,高校
西安外国语大学长安校区,108.87543022710503,34.138850667171056,高校
西北工业大学-东门,108.91547496427273,34.24623104693366,高校
西安老年大学,108.94098100270905,34.28169238006028,高校
西安理工大学-南门,108.98833588112039,34.2527868308804,高校
西安理工大学-北门,108.98798048509113,34.25763428725582,高校
陕西省老年大学,108.95177539963854,34.27202219783793,高校
西北政法大学南校区-正门,108.91262757445016,34.15852623793315,高校
西北工业大学-西门,108.90581363229997,34.24629700927092,高校
西安交通大学-东南门,108.98309105222243,34.24690284248322,高校
陕西老年大学,108.93691056274017,34.26033464401903,高校
陕西广播电视大学(新城分校),108.97156368625086,34.27098421192059,高校
西安建筑科技大学-南门,108.96324555150609,34.23727683993956,高校
西北工业大学-南门,108.91226516997088,34.24292650281498,高校
国家开放大学(西安),108.93208535075915,34.25723889612569,高校
西安老年大学,108.98375982567926,34.25835094535633,高校
西安市长安区客运公司高校1号线调度站,108.9383882203055,34.17453322688905,高校
西安老年大学,108.93339657140872,34.261341057870744,高校
陕汽集团职工培训大学,109.01068694203443,34.482059833074445,高校
西安广播电视大学,109.05265319613656,34.27586528713626,高校
西安市临潼区金秋老年大学,109.26369750631294,34.38981637831655,高校
陕西航天职工大学,108.93849743317159,34.17435766401709,高校
西安市雁塔区老年大学,108.94238575046656,34.22134379105429,高校
建筑科技大学,108.96320974315408,34.23720370270738,高校
长安老年大学,108.93068109510929,34.14754447143605,高校
陕西师范大学-北门,108.88931232073443,34.15909873320042,高校
天朗中老年大学,108.89654835009485,34.288839559396926,高校
碑林老年大学,108.9712406283224,34.25452470616941,高校
西安建筑科技大学-西门,108.95956051419137,34.23923464299373,高校
西北大学-北门,108.92223854922597,34.25214696720795,高校
西安儿童大学,108.9415624205971,34.22788225330499,高校
西北大学-西门,108.919002197467,34.24960640397132,高校
西安石油大学(雁塔校区)-东门,108.92673708608487,34.215111502535294,高校
西安外国语大学(长安校区)-东门,108.87509061620406,34.13887225500625,高校
西安市职工大学,108.9179103367829,34.246507060669174,高校
西安团结老年大学,108.98382878610265,34.348598065804076,高校
西安老年大学(工会分校),108.91860684124897,34.24665845669072,高校
长安大学(渭水校区)-东门,108.90883611912895,34.37417574455166,高校
西安邮电大学长安校区-东门,108.89901294396199,34.1542599088595,高校
瑞泉养老老年大学,108.98761608330311,34.244561934624464,高校
西安铁路工程大学3号楼,108.91079012157167,34.22105794723871,高校
长安大学(渭水校区)-南门,108.9019516458202,34.36958932983892,高校
陕西师范大学-东门,108.89310413731123,34.15237040098151,高校
西安工程大学-北门,108.9954173682338,34.26042382448027,高校
西安理工大学-东门,108.99147308332964,34.25527162034883,高校
陕西省高校校办产业协会,108.95710301773823,34.23264487287364,高校
西安邮电大学软件科技协会,108.90222077798273,34.157448708794135,高校
西安工程大学-西门,108.99222927342262,34.258963223773414,高校
陕西继续教育大学,108.9981969287026,34.26922664406103,高校
西安创业大学,108.91475887976107,34.24052608907406,高校
陕西师范大学-西门,108.87988724320222,34.157926474913324,高校
西安市临潼区老年大学,109.20472171542961,34.38057081953642,高校
白鹿原高校联盟警务室,109.09624598876559,34.215925223096,高校
律轩大学,108.95280646939949,34.227880003742534,高校
西安外国语大学-4号门,108.87347110712757,34.13643970775387,高校
西安信息职业大学-北门,108.93833199542318,34.1212222429342,高校
西安汽车职业大学-西门,109.09731502122045,34.21480047273317,高校
西安邮电大学(东区)-西门,108.89956536460713,34.15744676906218,高校
西安理工大学-西门,108.98475148980812,34.25521547730209,高校
西安工程大学(临潼校区)-东门,109.18440936565565,34.36316619550101,高校
西安外国语大学-6号门,108.87511930495566,34.132904721126884,高校
西安交通大学研究生院-东二门,108.9830900942696,34.246953820302586,高校
西安铁路工程职工大学-西门,108.9099752146885,34.22232846050784,高校
西安外贸职工大学-东北1门,109.09548668577689,34.21621294220611,高校
农银大学陕西分校-西门,108.97032043349468,34.26401475549458,高校
西安华西专修大学-北门,109.36311272556473,34.12904007222074,高校
西安航空职工大学(北门),109.2404162181466,34.65721250180479,高校
第四军医大学(北门),108.97438256529153,34.27875084973187,高校
长安老年大学-南2门,108.92996292591874,34.14752523430493,高校
长安老年大学-南1门,108.93063092940422,34.14752435950151,高校
